id|name|trackid|trackname
p01|Ashkenazy|p01_001|"01 - Meditation, Op.72 No.5-1"
p01|Ashkenazy|p01_002|"01 - Moments musicaux (6) for piano, Op. 16- 1. Andantino B flat minor-1"
p01|Ashkenazy|p01_003|"01 - Nocturnes for Piano, B 54-Op. 9 no 2 in E flat major-1"
p01|Ashkenazy|p01_004|"01 - Waltz for Piano in E flat major, B 62 Op. 18 'Grande valse brillante'-1"
p01|Ashkenazy|p01_005|"01 Frederik Chopin - Polonaise in A Major, Op. 40, No. 1-1"
p01|Ashkenazy|p01_006|"01 Frederik Chopin - Waltz in E Flat Major, Op. 18 `Grande Valse Brillante'-1"
p01|Ashkenazy|p01_007|"01 Ludwig van Beethoven - Andante favori in F major, WoO 57 (1805)-1"
p01|Ashkenazy|p01_008|"01 Ludwig van Beethoven - Piano Sonata No.1 in F minor, Op.2, No.1 (1795) I. Allegro"
p01|Ashkenazy|p01_009|"01 Ludwig van Beethoven - Piano Sonata No.11 in B-flat major, Op.22 (1800) I. Allegro con brio"
p01|Ashkenazy|p01_010|"01 Ludwig van Beethoven - Piano Sonata No.14 in C-sharp minor, Op.27, No.2 'Moonlight' (1801) I. Adagio sostenuto"
p01|Ashkenazy|p01_011|"01 Ludwig van Beethoven - Piano Sonata No.17 in D minor, Op.31, No.2 (1802) I. Largo - Allegro"
p01|Ashkenazy|p01_012|"01 Ludwig van Beethoven - Piano Sonata No.21 in C major, Op.53 'Waldstein' (1803) I. Allegro con brio"
p01|Ashkenazy|p01_013|"01 Ludwig van Beethoven - Piano Sonata No.25 in G major, Op.79 (1809) I. Presto alla tedesca"
p01|Ashkenazy|p01_014|"01 Ludwig van Beethoven - Piano Sonata No.30 in E major, Op.109 (1820) I. Vivace, ma non troppo - Adagio espressivo"
p01|Ashkenazy|p01_015|"01 Ludwig van Beethoven - Piano Sonata No.4 in E-flat major, Op.7 (1797) I. Allegro molto e con brio"
p01|Ashkenazy|p01_016|"01 Ludwig van Beethoven - Piano Sonata No.7 in D major, Op.10, No.3 (1798) I. Presto"
